"pH","sampconc"
5.036,3.595131312
5.468,3.352219956
6.144,2.324518068
6.613,2.100292201
7.711,1.502356557
8.005,1.408929112
6.13,1.166017757
8.171,1.521042046
8.45,2.044235734
8.685,1.222074223
5.245,1.565789783
6.089,1.108839197
5.173,2.86927062
6.135,1.375393705
7.214,0.892080586
3.375,3.632319514
5.602,1.044397448
7.335,1.211360162
8.261,0.864253467
7.624,1.247974792
5.387,3.063737988
7.254,1.88223618
8.105,1.627988955
8.392,1.538254641
7.98,1.762590427
6.925,2.226217719
6.68,2.226217719
7.615,1.837369022
7.731,1.792501865
9.361,1.403653169
5.725,2.342471395
7.109,1.597136107
8.594,1.311424246
7.51,1.634402871
8.061,1.634402871
9.644,1.39838003
7.483,1.895270222
6.363,2.069181789
9.007,1.299001992
7.986,1.485335814