sample_name,pH,sampabs,tot_zn_ppm,sampconc,Znads,Znadsper
J1,3.356,0.1454,3,2.657379663,0.3426203369,11.4206779
J2,4.08,0.1411,,2.581395135,0.4186048653,13.95349551
J3,4.454,0.1128,,2.081310912,0.9186890878,30.62296959
J4,4.841,0.1079,,1.994723891,1.005276109,33.50920362
J5,6.181,0.0551,,1.061704565,1.938295435,64.60984784
J6,6.288,0.0754,,1.420422223,1.579577777,52.65259258
J7,7.021,0.0308,,0.6323036247,2.367696375,78.92321251
J8,7.835,0.053,,1.024595842,1.975404158,65.84680528
K1,4.11,0.154,,2.429076613,0.5709233872,19.03077957
K2,5.06,0.135,,2.118484912,0.8815150882,29.38383627
K3,5.39,0.098,,1.513648441,1.486351559,49.54505195
K4,6.93,0.062,,0.9251589026,2.074841097,69.16136991
K5,7.91,0.046,,0.6636079965,2.336392004,77.87973345
K6,8.87,0.042,,0.5982202699,2.40177973,80.05932434
K7,6.59,0.068,,1.023240492,1.976759508,65.89198359
K8,2.97,0.175,,2.772362177,0.2276378229,7.587927431